Feature,Coef,SE,P,OR,CI_lo,CI_hi
lead_log,-0.24433988218781985,0.0004215341413661732,0.0,0.78322138602068,0.7825745503407983,0.7838687563415064
mercury_log,-0.016329598407586174,0.0002529339596426361,0.0,0.9838030067072504,0.9833154066888383,0.9842908485135734
age,0.004546973104252082,3.08126949108201e-05,0.0,1.0045573262723688,1.0044966599921998,1.0046179962164599
bmi,0.03147535444198629,3.196141422710476e-05,0.0,1.0319759416592915,1.031911296199484,1.0320405911689001
education,0.034530845916934214,0.0002634268472153252,0.0,1.0351339575397398,1.034599638623713,1.0356685524047358
pregnant_now,-0.26253324694525376,0.0010999657163069548,0.0,0.769100793691517,0.7674444501850579,0.7707607120154245
race_Hispanic,-0.3260575700849578,0.0005582972634963227,0.0,0.7217636342418742,0.7209742672307526,0.7225538655005932
race_Non-Hispanic Black,-0.513787772077373,0.0006587953897626094,0.0,0.5982253407127953,0.5974533873390474,0.5989982915066329
race_Non-Hispanic White,-0.4857159334006002,0.00048394817527532577,0.0,0.6152565563298892,0.6146732385392799,0.6158404276823319
race_Other / Multiracial,-0.1550387779667294,0.0007522373359856282,0.0,0.8563819680882551,0.8551202615566081,0.8576455362333423
const,-1.4806000535296602,0.0012187359631511882,0.0,0.2275011345593139,0.2269583460268799,0.22804522121272955
