Feature,OR,CI_lo,CI_hi,P,Sig
const,0.22450173169228896,0.0,inf,0.9999986852535188,ns
lead_log,0.7916042762709226,0.7330421320134666,0.8548449029651399,2.529760868182168e-09,***
mercury_log,0.9822151463943469,0.9412469083431199,1.0249665473055474,0.409065342993817,ns
cadmium_log,0.9788264573745203,0.9238178591375226,1.0371105344844038,0.46832253166069593,ns
age,1.0047337991093728,0.9995931773208474,1.0099008576453392,0.0711496597160519,ns
bmi,1.031919069109464,1.0262749082026115,1.0375942709704389,2.954780796433438e-29,***
education,1.032834086725963,0.9868257728474944,1.0809874245835194,0.16465638465317445,ns
pregnant_now,0.7680355890499267,0.635745256834054,0.9278538214894485,0.006211775677687197,**
race_Hispanic,0.7160392296441113,,,,ns
race_Non-Hispanic Black,0.5965206797153265,,,,ns
race_Non-Hispanic White,0.6130129741890445,0.0,inf,0.9999993828418017,ns
race_Other / Multiracial,0.8574083492948601,,,,ns
